miRNAName	138011N	138011T	138228N	138228T	138239N	138239T
hsa-miR-1264	8	2	2	2	6	4
hsa-miR-6815-5p	6	19	16	6	8	2
hsa-miR-6511a-5p	5	0	2	3	4	3
hsa-miR-3650	0	0	2	1	0	0
hsa-miR-6817-3p	0	0	2	3	0	4
hsa-miR-548au-5p	6	9	2	1	1	4
hsa-miR-449b-5p	1	4	1	2	2	6
hsa-miR-4720-5p	1	3	0	0	3	5
hsa-miR-100-5p	99969	49235	39004	17665	55152	20102
hsa-miR-544b	2	2	6	8	11	15
hsa-miR-197-3p	1489	1584	964	2447	1040	1948
hsa-miR-548ah-3p	65	107	74	89	89	21
hsa-miR-2467-3p	0	6	1	2	2	6
hsa-miR-200b-5p	271	34	30	249	126	8
hsa-miR-6787-5p	2	3	0	11	2	5
hsa-miR-320d	82	63	47	205	35	120
hsa-miR-6883-3p	2	4	2	6	0	0
hsa-miR-497-3p	50	16	16	41	22	8
hsa-miR-518b	0	54	2	0	0	3
hsa-miR-5000-5p	1	6	3	8	4	5
hsa-miR-6815-3p	0	4	6	2	3	1
hsa-miR-3199	14	15	14	20	13	21
hsa-miR-659-5p	35	59	20	44	30	132
hsa-miR-4789-3p	7	0	2	2	0	1
hsa-miR-550a-3-5p	36	20	27	53	28	53
hsa-miR-4704-3p	7	1	4	3	1	6
hsa-miR-1538	4	15	11	13	9	19
hsa-miR-411-3p	62	14	49	118	62	26
hsa-let-7f-2-3p	1383	984	891	2019	1154	248
hsa-miR-3973	2	3	3	12	4	2
hsa-miR-378g	182	119	286	72	307	334
hsa-miR-6770-3p	8	1	1	8	2	8
hsa-miR-4797-5p	16	20	12	9	7	6
hsa-miR-6780b-5p	2	0	0	1	2	0
hsa-miR-2116-3p	15	27	23	55	13	60
hsa-miR-137	4	4	0	1491	2	6
hsa-miR-2054	2	4	9	1	5	0
hsa-miR-4722-3p	3	9	9	8	4	11
hsa-miR-4522	6	9	5	15	6	5
hsa-miR-3198	0	5	2	15	0	4
hsa-miR-4705	53	63	10	16	33	233
hsa-miR-3190-3p	4	19	2	7	3	22
hsa-miR-130a-3p	1480	133	472	1773	731	256
hsa-miR-4762-3p	6	4	0	8	2	21
hsa-miR-3690	8	6	2	34	6	10
hsa-miR-6838-3p	1	3	0	2	0	0
hsa-miR-221-3p	9046	18974	4340	91175	6847	18551
hsa-miR-584-5p	148	85	81	209	56	43
hsa-miR-4676-5p	2	1	2	2	3	4
hsa-miR-4528	75	101	90	35	57	85
hsa-let-7b-3p	844	291	414	884	472	158
hsa-miR-573	1	3	2	6	8	47
hsa-miR-4450	0	4	0	4	0	5
hsa-miR-140-3p	59978	42553	18182	55715	34627	83253
hsa-miR-331-3p	1144	2358	738	2527	576	1808
hsa-miR-7854-3p	6	6	7	22	12	4
hsa-miR-3121-3p	5	2	2	0	0	0
hsa-miR-665	17	6	43	169	30	30
hsa-miR-4252	0	0	0	0	2	7
hsa-miR-3607-3p	197	285	274	80	171	370
hsa-miR-337-5p	25	9	11	31	16	24
hsa-miR-125b-1-3p	276	136	98	184	108	233
hsa-miR-4730	13	10	14	9	8	14
hsa-miR-1237-5p	6	4	3	1	7	7
hsa-miR-494-3p	1187	329	673	1366	1101	176
hsa-miR-6789-5p	24	8	7	10	8	30
hsa-miR-4523	0	9	2	5	4	4
hsa-miR-6741-3p	2	6	1	12	4	7
hsa-miR-5586-3p	0	0	0	2	0	2
hsa-miR-382-5p	320	74	142	764	279	224
hsa-miR-4254	0	0	3	6	5	2
hsa-miR-548ah-5p	26	95	95	79	69	19
hsa-miR-4787-3p	30	3	2	7	1	10
hsa-miR-6851-3p	0	0	2	0	0	0
hsa-miR-1253	0	0	3	3	0	3
hsa-miR-548ab	15	21	9	88	21	13
hsa-miR-4659a-3p	1	6	12	7	2	2
hsa-miR-548ap-5p	4	3	7	7	4	13
hsa-miR-4261	5	3	3	8	5	7
hsa-miR-4717-5p	7	4	6	0	1	0
hsa-miR-4312	6	3	8	5	2	6
hsa-miR-4313	1	4	7	0	5	12
hsa-miR-1299	753	1848	22	117	155	176
hsa-miR-4517	6	6	0	2	0	21
hsa-miR-937-5p	0	0	3	1	0	2
hsa-miR-3187-3p	12	8	0	23	4	2
hsa-miR-374b-3p	131	135	107	193	87	30
hsa-miR-548ad-5p	51	56	25	44	39	73
hsa-miR-3124-3p	0	0	3	5	5	4
hsa-miR-4686	152	4	176	4	161	3
hsa-miR-4294	2	0	2	4	0	1
hsa-miR-6893-3p	4	2	6	2	0	7
hsa-miR-6741-5p	0	3	0	5	1	12
hsa-miR-345-5p	2695	11220	2367	9148	2355	1245
hsa-miR-645	7	1	8	6	2	0
hsa-miR-5681b	0	0	0	0	0	0
hsa-miR-4453	2	3	2	2	2	3
hsa-miR-605-5p	10	2	0	3	2	1
hsa-miR-26a-1-3p	20	17	12	6	19	10
hsa-miR-4539	8	10	10	2	11	7
hsa-miR-518a-5p	0	0	0	2	0	2
hsa-miR-6797-5p	3	3	10	10	2	15
hsa-miR-875-3p	2	4	1	0	2	3
hsa-miR-5693	5	6	11	15	6	10
hsa-miR-4534	1	0	6	0	2	4
hsa-miR-6811-5p	2	2	1	3	2	6
hsa-miR-4666a-5p	0	0	0	2	0	0
hsa-miR-6794-5p	1	1	2	3	0	1
hsa-miR-4694-5p	0	0	0	0	2	4
hsa-miR-5584-3p	1	1	0	0	0	7
hsa-miR-661	0	2	1	7	5	12
hsa-miR-3074-3p	162	91	150	160	120	48
hsa-let-7g-3p	33	15	31	47	20	25
hsa-miR-4530	0	5	1	9	1	2
hsa-miR-4777-5p	0	1	0	5	0	0
hsa-miR-3184-3p	4392	4836	4220	7991	3289	9257
hsa-miR-127-3p	15944	5439	5853	29263	11596	10187
hsa-miR-519e-3p	0	1	2	0	0	6
hsa-miR-584-3p	14	17	22	6	24	17
hsa-miR-138-2-3p	3	1	1	0	5	2
hsa-miR-6867-3p	0	1	1	1	2	2
hsa-miR-7154-5p	0	0	0	4	0	3
hsa-miR-132-5p	239	95	86	371	173	509
hsa-miR-6075	6	7	3	0	6	2
hsa-miR-7974	6	68	21	118	18	542
hsa-miR-6499-5p	2	1	2	4	3	0
hsa-miR-5580-3p	0	5	2	2	2	3
hsa-miR-210-3p	3886	7256	4231	30824	2507	39397
hsa-miR-1245a	1	0	2	1	1	1
hsa-miR-6796-3p	0	1	1	7	3	2
hsa-miR-21-3p	728	2767	1066	13662	1437	7959
hsa-miR-1227-5p	1	0	2	3	0	0
hsa-miR-637	0	1	3	2	0	5
hsa-miR-3692-5p	3	0	3	5	6	1
hsa-miR-505-5p	58	86	46	38	40	10
hsa-miR-148a-3p	1129690	1371082	1442122	505957	1223357	96934
hsa-miR-3675-3p	0	2	0	2	0	0
hsa-miR-7855-5p	2	0	4	4	3	2
hsa-miR-577	0	4	1	5	8	13
hsa-miR-3614-5p	4	3	10	10	8	5
hsa-miR-3941	2	1	1	0	2	7
hsa-miR-4694-3p	0	0	2	8	5	0
hsa-miR-28-3p	17963	21294	16286	29539	15963	32536
hsa-miR-4314	0	4	0	1	2	1
hsa-miR-5582-3p	0	0	2	3	1	4
hsa-miR-8068	0	0	0	0	0	0
hsa-miR-552-3p	12	264	28	16	6	6
hsa-miR-375	11645	3496	4186	103	7700	588
